episode_key,source_kind,source_root,run_id,policy,checkpoint,task,cohort_id,group_id,episode_uid,episode_id,reset_id,source_seed,source_seed_provenance,success,first_success_action_slot,first_success_query,terminal_success_video_frame,any_success_after,queries,total_action_slots,episode_mean_S_raw,episode_median_S_raw,episode_mean_S_std,episode_median_S_std,episode_min_S_std,episode_max_S_std,episode_mean_abs_I_raw,episode_mean_abs_I_std,episode_mean_abs_R_std,video_path,query_scope,representative,selection_reason
pi0-adjust_bottle-fixed64-800baf80-v1::ep000010_reset100100156,pi0,/data/chenyiteng/results/dvac-observation/pi0-adjust_bottle-fixed64-800baf80-v1/dvac_telemetry,pi0-adjust_bottle-fixed64-800baf80-v1,pi0,92684e50c8a3dcf13b76a06713e3152625967be1,adjust_bottle,pi0-adjust_bottle-fixed64-800baf80-v1,pi0__adjust_bottle__run-pi0-adjust_bottle-fixed64-800baf__cohort-pi0-adjust_bottle-fixed6__92684e50c8a3dcf13b76a06713e31526-46b40fae,ep000010_reset100100156,10,100100156,100100156.0,payload_reset_id,True,,,,False,4,200,-0.42530151386146453,-0.3145039174674431,-0.6929882925597239,-0.551446514849715,-1.635608635395578,-0.03345150514388755,0.3175872562492835,0.4987001419430403,0.9541174284589439,/data/chenyiteng/results/dvac-observation/pi0-adjust_bottle-fixed64-800baf80-v1/dvac_telemetry/seed_0/0.mp4,all_queries_descriptive,False,
pi0-adjust_bottle-fixed64-800baf80-v1::ep000011_reset100100148,pi0,/data/chenyiteng/results/dvac-observation/pi0-adjust_bottle-fixed64-800baf80-v1/dvac_telemetry,pi0-adjust_bottle-fixed64-800baf80-v1,pi0,92684e50c8a3dcf13b76a06713e3152625967be1,adjust_bottle,pi0-adjust_bottle-fixed64-800baf80-v1,pi0__adjust_bottle__run-pi0-adjust_bottle-fixed64-800baf__cohort-pi0-adjust_bottle-fixed6__92684e50c8a3dcf13b76a06713e31526-46b40fae,ep000011_reset100100148,11,100100148,100100148.0,payload_reset_id,True,,,,False,4,200,-0.442057915187132,-0.4033237347666411,-0.7084325103461558,-0.6351705291042669,-1.597359733171739,0.03397074999564931,0.35603596084112604,0.5431280233562812,0.9979479236456651,/data/chenyiteng/results/dvac-observation/pi0-adjust_bottle-fixed64-800baf80-v1/dvac_telemetry/seed_0/0.mp4,all_queries_descriptive,False,
pi0-adjust_bottle-fixed64-800baf80-v1::ep000012_reset100100091,pi0,/data/chenyiteng/results/dvac-observation/pi0-adjust_bottle-fixed64-800baf80-v1/dvac_telemetry,pi0-adjust_bottle-fixed64-800baf80-v1,pi0,92684e50c8a3dcf13b76a06713e3152625967be1,adjust_bottle,pi0-adjust_bottle-fixed64-800baf80-v1,pi0__adjust_bottle__run-pi0-adjust_bottle-fixed64-800baf__cohort-pi0-adjust_bottle-fixed6__92684e50c8a3dcf13b76a06713e31526-46b40fae,ep000012_reset100100091,12,100100091,100100091.0,payload_reset_id,False,,,,False,4,200,-0.03555019807193457,-0.04336365787735645,-0.06612920547848732,-0.0793373839583841,-0.6961734944742618,0.5903314404770807,0.4262395295589583,0.6693320508108795,0.7852015532914614,/data/chenyiteng/results/dvac-observation/pi0-adjust_bottle-fixed64-800baf80-v1/dvac_telemetry/seed_0/0.mp4,all_queries_descriptive,False,
pi0-adjust_bottle-fixed64-800baf80-v1::ep000013_reset100100085,pi0,/data/chenyiteng/results/dvac-observation/pi0-adjust_bottle-fixed64-800baf80-v1/dvac_telemetry,pi0-adjust_bottle-fixed64-800baf80-v1,pi0,92684e50c8a3dcf13b76a06713e3152625967be1,adjust_bottle,pi0-adjust_bottle-fixed64-800baf80-v1,pi0__adjust_bottle__run-pi0-adjust_bottle-fixed64-800baf__cohort-pi0-adjust_bottle-fixed6__92684e50c8a3dcf13b76a06713e31526-46b40fae,ep000013_reset100100085,13,100100085,100100085.0,payload_reset_id,False,,,,False,4,200,0.0538157314617128,0.07949189387143527,0.12460669654909348,0.13326073266866761,-0.30146938968780734,0.533374710546846,0.3010468146826762,0.5111816864958725,0.5692268981086992,/data/chenyiteng/results/dvac-observation/pi0-adjust_bottle-fixed64-800baf80-v1/dvac_telemetry/seed_0/0.mp4,all_queries_descriptive,False,
pi0-adjust_bottle-fixed64-800baf80-v1::ep000014_reset100100013,pi0,/data/chenyiteng/results/dvac-observation/pi0-adjust_bottle-fixed64-800baf80-v1/dvac_telemetry,pi0-adjust_bottle-fixed64-800baf80-v1,pi0,92684e50c8a3dcf13b76a06713e3152625967be1,adjust_bottle,pi0-adjust_bottle-fixed64-800baf80-v1,pi0__adjust_bottle__run-pi0-adjust_bottle-fixed64-800baf__cohort-pi0-adjust_bottle-fixed6__92684e50c8a3dcf13b76a06713e31526-46b40fae,ep000014_reset100100013,14,100100013,100100013.0,payload_reset_id,True,,,,False,4,200,-0.13621500338065679,-0.3540817282543544,-0.2072545690377785,-0.5260028551601124,-0.9802672832973883,1.2032547174664991,0.35487982602650314,0.5382137348039288,0.9750608723840021,/data/chenyiteng/results/dvac-observation/pi0-adjust_bottle-fixed64-800baf80-v1/dvac_telemetry/seed_0/0.mp4,all_queries_descriptive,False,
pi0-adjust_bottle-fixed64-800baf80-v1::ep000015_reset100100034,pi0,/data/chenyiteng/results/dvac-observation/pi0-adjust_bottle-fixed64-800baf80-v1/dvac_telemetry,pi0-adjust_bottle-fixed64-800baf80-v1,pi0,92684e50c8a3dcf13b76a06713e3152625967be1,adjust_bottle,pi0-adjust_bottle-fixed64-800baf80-v1,pi0__adjust_bottle__run-pi0-adjust_bottle-fixed64-800baf__cohort-pi0-adjust_bottle-fixed6__92684e50c8a3dcf13b76a06713e31526-46b40fae,ep000015_reset100100034,15,100100034,100100034.0,payload_reset_id,True,,,,False,4,200,-0.2579037818756413,-0.24188413656797167,-0.4381513135097507,-0.4375975145179246,-1.2548492255344668,0.3774390005313133,0.34400508726869194,0.5581763981827776,0.9309337197967944,/data/chenyiteng/results/dvac-observation/pi0-adjust_bottle-fixed64-800baf80-v1/dvac_telemetry/seed_0/0.mp4,all_queries_descriptive,False,
pi0-adjust_bottle-fixed64-800baf80-v1::ep000016_reset100100173,pi0,/data/chenyiteng/results/dvac-observation/pi0-adjust_bottle-fixed64-800baf80-v1/dvac_telemetry,pi0-adjust_bottle-fixed64-800baf80-v1,pi0,92684e50c8a3dcf13b76a06713e3152625967be1,adjust_bottle,pi0-adjust_bottle-fixed64-800baf80-v1,pi0__adjust_bottle__run-pi0-adjust_bottle-fixed64-800baf__cohort-pi0-adjust_bottle-fixed6__92684e50c8a3dcf13b76a06713e31526-46b40fae,ep000016_reset100100173,16,100100173,100100173.0,payload_reset_id,False,,,,False,4,200,-0.2508416917907562,-0.23967372749351745,-0.4038082996805714,-0.3902829448077447,-1.1506099187540526,0.31594260964725646,0.3527184384102291,0.5389890081144408,0.8466622689897432,/data/chenyiteng/results/dvac-observation/pi0-adjust_bottle-fixed64-800baf80-v1/dvac_telemetry/seed_1/0.mp4,all_queries_descriptive,False,
pi0-adjust_bottle-fixed64-800baf80-v1::ep000017_reset100100065,pi0,/data/chenyiteng/results/dvac-observation/pi0-adjust_bottle-fixed64-800baf80-v1/dvac_telemetry,pi0-adjust_bottle-fixed64-800baf80-v1,pi0,92684e50c8a3dcf13b76a06713e3152625967be1,adjust_bottle,pi0-adjust_bottle-fixed64-800baf80-v1,pi0__adjust_bottle__run-pi0-adjust_bottle-fixed64-800baf__cohort-pi0-adjust_bottle-fixed6__92684e50c8a3dcf13b76a06713e31526-46b40fae,ep000017_reset100100065,17,100100065,100100065.0,payload_reset_id,True,,,,False,4,200,-0.3734531295430422,-0.2589328044434751,-0.5919044255755836,-0.4083903608107632,-1.892458030079865,0.3416210493990567,0.36612909276831596,0.5906622502743113,1.0789108518437656,/data/chenyiteng/results/dvac-observation/pi0-adjust_bottle-fixed64-800baf80-v1/dvac_telemetry/seed_1/0.mp4,all_queries_descriptive,False,
pi0-adjust_bottle-fixed64-800baf80-v1::ep000018_reset100100076,pi0,/data/chenyiteng/results/dvac-observation/pi0-adjust_bottle-fixed64-800baf80-v1/dvac_telemetry,pi0-adjust_bottle-fixed64-800baf80-v1,pi0,92684e50c8a3dcf13b76a06713e3152625967be1,adjust_bottle,pi0-adjust_bottle-fixed64-800baf80-v1,pi0__adjust_bottle__run-pi0-adjust_bottle-fixed64-800baf__cohort-pi0-adjust_bottle-fixed6__92684e50c8a3dcf13b76a06713e31526-46b40fae,ep000018_reset100100076,18,100100076,100100076.0,payload_reset_id,True,,,,False,4,200,-0.2188551256564495,-0.3129107544299664,-0.33406908689907094,-0.5040831803195827,-1.003416546567308,0.6753065596101895,0.3663702613682749,0.578530524955643,0.9222911491254003,/data/chenyiteng/results/dvac-observation/pi0-adjust_bottle-fixed64-800baf80-v1/dvac_telemetry/seed_1/0.mp4,all_queries_descriptive,False,
pi0-adjust_bottle-fixed64-800baf80-v1::ep000019_reset100100057,pi0,/data/chenyiteng/results/dvac-observation/pi0-adjust_bottle-fixed64-800baf80-v1/dvac_telemetry,pi0-adjust_bottle-fixed64-800baf80-v1,pi0,92684e50c8a3dcf13b76a06713e3152625967be1,adjust_bottle,pi0-adjust_bottle-fixed64-800baf80-v1,pi0__adjust_bottle__run-pi0-adjust_bottle-fixed64-800baf__cohort-pi0-adjust_bottle-fixed6__92684e50c8a3dcf13b76a06713e31526-46b40fae,ep000019_reset100100057,19,100100057,100100057.0,payload_reset_id,False,,,,False,4,200,0.2671253790741803,0.4825044687720035,0.4062061088729948,0.7362220381348052,-0.9684642665759963,1.1208446257983649,0.34447529277222566,0.5258663353160131,0.9825343023361774,/data/chenyiteng/results/dvac-observation/pi0-adjust_bottle-fixed64-800baf80-v1/dvac_telemetry/seed_1/0.mp4,all_queries_descriptive,False,
pi0-adjust_bottle-fixed64-800baf80-v1::ep000020_reset100100035,pi0,/data/chenyiteng/results/dvac-observation/pi0-adjust_bottle-fixed64-800baf80-v1/dvac_telemetry,pi0-adjust_bottle-fixed64-800baf80-v1,pi0,92684e50c8a3dcf13b76a06713e3152625967be1,adjust_bottle,pi0-adjust_bottle-fixed64-800baf80-v1,pi0__adjust_bottle__run-pi0-adjust_bottle-fixed64-800baf__cohort-pi0-adjust_bottle-fixed6__92684e50c8a3dcf13b76a06713e31526-46b40fae,ep000020_reset100100035,20,100100035,100100035.0,payload_reset_id,True,,,,False,4,200,0.1445887025400474,0.3199188935074224,0.1956226346462937,0.45247721279986697,-1.2983617476671245,1.1758978606525654,0.37192635533897284,0.5717635724742987,1.0069210794664452,/data/chenyiteng/results/dvac-observation/pi0-adjust_bottle-fixed64-800baf80-v1/dvac_telemetry/seed_1/0.mp4,all_queries_descriptive,False,
pi0-adjust_bottle-fixed64-800baf80-v1::ep000021_reset100100070,pi0,/data/chenyiteng/results/dvac-observation/pi0-adjust_bottle-fixed64-800baf80-v1/dvac_telemetry,pi0-adjust_bottle-fixed64-800baf80-v1,pi0,92684e50c8a3dcf13b76a06713e3152625967be1,adjust_bottle,pi0-adjust_bottle-fixed64-800baf80-v1,pi0__adjust_bottle__run-pi0-adjust_bottle-fixed64-800baf__cohort-pi0-adjust_bottle-fixed6__92684e50c8a3dcf13b76a06713e31526-46b40fae,ep000021_reset100100070,21,100100070,100100070.0,payload_reset_id,True,,,,False,4,200,-0.2146777576245076,-0.4033533076788956,-0.31517058595740144,-0.6406368612518087,-0.8176859335060126,0.8382773121800244,0.3815160768957638,0.6062183630942648,0.8802502905565974,/data/chenyiteng/results/dvac-observation/pi0-adjust_bottle-fixed64-800baf80-v1/dvac_telemetry/seed_1/0.mp4,all_queries_descriptive,False,
pi0-adjust_bottle-fixed64-800baf80-v1::ep000022_reset100100119,pi0,/data/chenyiteng/results/dvac-observation/pi0-adjust_bottle-fixed64-800baf80-v1/dvac_telemetry,pi0-adjust_bottle-fixed64-800baf80-v1,pi0,92684e50c8a3dcf13b76a06713e3152625967be1,adjust_bottle,pi0-adjust_bottle-fixed64-800baf80-v1,pi0__adjust_bottle__run-pi0-adjust_bottle-fixed64-800baf__cohort-pi0-adjust_bottle-fixed6__92684e50c8a3dcf13b76a06713e31526-46b40fae,ep000022_reset100100119,22,100100119,100100119.0,payload_reset_id,True,,,,False,4,200,-0.27104958932412054,-0.30804320008416963,-0.41207027807826113,-0.45949745794276886,-1.2022833429352644,0.4729971465077574,0.35137879554832285,0.5586185532346992,0.8348518109120868,/data/chenyiteng/results/dvac-observation/pi0-adjust_bottle-fixed64-800baf80-v1/dvac_telemetry/seed_1/0.mp4,all_queries_descriptive,False,
pi0-adjust_bottle-fixed64-800baf80-v1::ep000023_reset100100174,pi0,/data/chenyiteng/results/dvac-observation/pi0-adjust_bottle-fixed64-800baf80-v1/dvac_telemetry,pi0-adjust_bottle-fixed64-800baf80-v1,pi0,92684e50c8a3dcf13b76a06713e3152625967be1,adjust_bottle,pi0-adjust_bottle-fixed64-800baf80-v1,pi0__adjust_bottle__run-pi0-adjust_bottle-fixed64-800baf__cohort-pi0-adjust_bottle-fixed6__92684e50c8a3dcf13b76a06713e31526-46b40fae,ep000023_reset100100174,23,100100174,100100174.0,payload_reset_id,False,,,,False,4,200,0.37896850610176563,0.36758688030431486,0.5992824236056105,0.563630765504804,0.13351988172405743,1.1363482816887767,0.37134000399416384,0.5885976125194206,0.801991482844762,/data/chenyiteng/results/dvac-observation/pi0-adjust_bottle-fixed64-800baf80-v1/dvac_telemetry/seed_1/0.mp4,all_queries_descriptive,False,
pi0-adjust_bottle-fixed64-800baf80-v1::ep000024_reset100100090,pi0,/data/chenyiteng/results/dvac-observation/pi0-adjust_bottle-fixed64-800baf80-v1/dvac_telemetry,pi0-adjust_bottle-fixed64-800baf80-v1,pi0,92684e50c8a3dcf13b76a06713e3152625967be1,adjust_bottle,pi0-adjust_bottle-fixed64-800baf80-v1,pi0__adjust_bottle__run-pi0-adjust_bottle-fixed64-800baf__cohort-pi0-adjust_bottle-fixed6__92684e50c8a3dcf13b76a06713e31526-46b40fae,ep000024_reset100100090,24,100100090,100100090.0,payload_reset_id,True,,,,False,4,200,-0.18458607391238843,-0.27972392482522773,-0.25906967161718386,-0.3911919427429062,-0.8415935476352512,0.587698746652328,0.3436911009945577,0.5469610699906854,0.7627347485924484,/data/chenyiteng/results/dvac-observation/pi0-adjust_bottle-fixed64-800baf80-v1/dvac_telemetry/seed_1/0.mp4,all_queries_descriptive,False,
pi0-adjust_bottle-fixed64-800baf80-v1::ep000025_reset100100118,pi0,/data/chenyiteng/results/dvac-observation/pi0-adjust_bottle-fixed64-800baf80-v1/dvac_telemetry,pi0-adjust_bottle-fixed64-800baf80-v1,pi0,92684e50c8a3dcf13b76a06713e3152625967be1,adjust_bottle,pi0-adjust_bottle-fixed64-800baf80-v1,pi0__adjust_bottle__run-pi0-adjust_bottle-fixed64-800baf__cohort-pi0-adjust_bottle-fixed6__92684e50c8a3dcf13b76a06713e31526-46b40fae,ep000025_reset100100118,25,100100118,100100118.0,payload_reset_id,True,,,,False,4,200,-0.16842346939183508,-0.17321085464921823,-0.22769369864662903,-0.21627343256111684,-0.6703059044447128,0.19207797498043042,0.396420292272892,0.6315992375671737,0.7736730495617019,/data/chenyiteng/results/dvac-observation/pi0-adjust_bottle-fixed64-800baf80-v1/dvac_telemetry/seed_1/0.mp4,all_queries_descriptive,False,
pi0-adjust_bottle-fixed64-800baf80-v1::ep000026_reset100100165,pi0,/data/chenyiteng/results/dvac-observation/pi0-adjust_bottle-fixed64-800baf80-v1/dvac_telemetry,pi0-adjust_bottle-fixed64-800baf80-v1,pi0,92684e50c8a3dcf13b76a06713e3152625967be1,adjust_bottle,pi0-adjust_bottle-fixed64-800baf80-v1,pi0__adjust_bottle__run-pi0-adjust_bottle-fixed64-800baf__cohort-pi0-adjust_bottle-fixed6__92684e50c8a3dcf13b76a06713e31526-46b40fae,ep000026_reset100100165,26,100100165,100100165.0,payload_reset_id,True,,,,False,4,200,-0.1533629539524351,-0.27841464216847445,-0.22310918139197838,-0.42632700871310375,-0.8275489644526833,0.7877662563109773,0.4049711195797246,0.6320438659000168,0.8682888061834304,/data/chenyiteng/results/dvac-observation/pi0-adjust_bottle-fixed64-800baf80-v1/dvac_telemetry/seed_1/0.mp4,all_queries_descriptive,False,
pi0-adjust_bottle-fixed64-800baf80-v1::ep000027_reset100100045,pi0,/data/chenyiteng/results/dvac-observation/pi0-adjust_bottle-fixed64-800baf80-v1/dvac_telemetry,pi0-adjust_bottle-fixed64-800baf80-v1,pi0,92684e50c8a3dcf13b76a06713e3152625967be1,adjust_bottle,pi0-adjust_bottle-fixed64-800baf80-v1,pi0__adjust_bottle__run-pi0-adjust_bottle-fixed64-800baf__cohort-pi0-adjust_bottle-fixed6__92684e50c8a3dcf13b76a06713e31526-46b40fae,ep000027_reset100100045,27,100100045,100100045.0,payload_reset_id,False,,,,False,4,200,-0.02242836527204553,0.09391313612846555,-0.05927596035281285,0.12324159232451928,-1.3813694247352202,0.8977823986749303,0.3471174660683584,0.5534066339967458,0.9049153297715066,/data/chenyiteng/results/dvac-observation/pi0-adjust_bottle-fixed64-800baf80-v1/dvac_telemetry/seed_1/0.mp4,all_queries_descriptive,False,
pi0-adjust_bottle-fixed64-800baf80-v1::ep000028_reset100100154,pi0,/data/chenyiteng/results/dvac-observation/pi0-adjust_bottle-fixed64-800baf80-v1/dvac_telemetry,pi0-adjust_bottle-fixed64-800baf80-v1,pi0,92684e50c8a3dcf13b76a06713e3152625967be1,adjust_bottle,pi0-adjust_bottle-fixed64-800baf80-v1,pi0__adjust_bottle__run-pi0-adjust_bottle-fixed64-800baf__cohort-pi0-adjust_bottle-fixed6__92684e50c8a3dcf13b76a06713e31526-46b40fae,ep000028_reset100100154,28,100100154,100100154.0,payload_reset_id,False,,,,False,4,200,0.46107047207268287,0.3839260850008618,0.694724460827681,0.570306964751468,0.0776409580488013,1.5606429557589871,0.362585392021015,0.5686157791071108,0.9457126222310284,/data/chenyiteng/results/dvac-observation/pi0-adjust_bottle-fixed64-800baf80-v1/dvac_telemetry/seed_1/0.mp4,all_queries_descriptive,False,
